12697,4568,12,蔬果,1203,水果,120313,其它水果,20150202,201502,DW-1203130446,散称,生鲜,KG,0.632,10.6,30.0,否
12698,4568,15,日配,1517,常温肉制品,151704,蔬菜火腿肠,20150202,201502,DW-1517040021,40g*10,一般商品,袋,1.0,13.5,13.9,否
12717,4568,15,日配,1517,常温肉制品,151704,蔬菜火腿肠,20150202,201502,DW-1517040020,30g*9,一般商品,袋,1.0,9.0,9.3,否
12803,4568,13,熟食,1302,卤制熟食,130201,卤制畜类,20150202,201502,DW-1302010082,散称,联营商品,kg,0.26,31.2,90.0,否
12804,4568,15,日配,1521,蛋类,152101,新鲜蛋品,20150202,201502,DW-1521010005,散称,一般商品,千克,1.702,15.28,6.78,否
12816,4568,10,肉禽,1001,猪肉,100101,鲜猪肉,20150202,201502,DW-1001010195,散称,生鲜,千克,0.28,8.33,27.8,否
12834,4568,12,蔬果,1201,蔬菜,120104,花果,20150202,201502,DW-1201040010,散称,生鲜,千克,0.672,2.8,2.58,否
12852,4568,12,蔬果,1201,蔬菜,120101,叶菜,20150202,201502,DW-1201010021,散称,生鲜,千克,0.418,2.66,6.56,否
12853,4568,12,蔬果,1201,蔬菜,120104,花果,20150202,201502,DW-1201040049,散称,生鲜,千克,0.413,2.72,5.8,否
12854,4568,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150202,201502,DW-1201070001,散称,生鲜,KG,0.554,3.2,5.0,否
12855,4568,15,日配,1517,常温肉制品,151799,其它火腿肠,20150202,201502,DW-1517990018,38g*10,一般商品,袋,1.0,11.9,14.9,是
12879,4568,12,蔬果,1201,蔬菜,120102,根茎,20150202,201502,DW-1201020013,散称,生鲜,千克,0.664,1.97,4.0,否
12880,4568,12,蔬果,1201,蔬菜,120102,根茎,20150202,201502,DW-1201020017,散称,生鲜,千克,0.528,3.05,2.56,否
12949,4568,12,蔬果,1201,蔬菜,120101,叶菜,20150202,201502,DW-1201010005,散称,生鲜,千克,0.572,2.84,5.8,否
13024,4568,12,蔬果,1201,蔬菜,120102,根茎,20150202,201502,DW-1201020045,散称,生鲜,千克,0.304,1.75,7.6,否
13025,4568,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150202,201502,DW-1202048046,散称,生鲜,千克,0.272,2.8,9.96,否
