12328,1499,31,家居,3114,一次性用品,311405,一次性垃圾袋,20150201,201502,DW-3114050088,6198,一般商品,只,1.0,2.9,5.0,否
12329,1499,31,家居,3116,保鲜用品,311604,保鲜袋,20150201,201502,DW-3116040005,25CM*17CM*25,一般商品,卷,1.0,9.0,10.0,否
12359,1499,20,粮油,2009,盐/糖,200903,绵白糖,20150201,201502,DW-2009030002,散称,一般商品,kg,1.0,6.0,6.8,否
12391,1499,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020037,散称,生鲜,千克,0.26,1.86,3.96,否
12392,1499,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040035,散称,生鲜,千克,0.298,3.92,9.6,否
12438,1499,20,粮油,2011,液体调料,201102,生抽酱油,20150201,201502,DW-2011020021,500ml,一般商品,瓶,1.0,6.9,7.9,否
12477,1499,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150201,201502,DW-1201070001,散称,生鲜,KG,0.385,2.15,5.0,否
12478,1499,20,粮油,2010,食用油,201002,调和油,20150201,201502,DW-2010020060,5L,一般商品,桶,1.0,131.9,131.9,否
12503,1499,13,熟食,1308,现制中式面点,130801,现制蒸类,20150201,201502,DW-1308010192,个,生鲜,个,4.0,2.0,0.5,否
12533,1499,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020043,散称,生鲜,千克,0.304,0.9,1.8,否
12561,1499,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020029,散称,生鲜,千克,0.504,2.3,3.96,否
12562,1499,12,蔬果,1201,蔬菜,120105,鲜调味,20150201,201502,DW-1201050004,散称,生鲜,千克,0.47,2.81,5.98,否
12597,1499,10,肉禽,1001,猪肉,100101,鲜猪肉,20150201,201502,DW-1001010194,散称,生鲜,千克,0.114,3.06,29.8,否
